Origin
Motihari
Badaun
Kakinada
Mysore
Kadapa
Kolkata
Varanasi
Kalpetta (kerala)
Kullu
Midnapore
Ernakulam
Ghumarwin
Berhampore (West Bengal)
Moradabad
Chennai
Chamba (Himachal Pradesh)
Shimla
Chittoor (Andhra Pradesh)
Moran
Vinukonda
Barasat (West Bengal)
Manali
Lucknow
Kozhikode
Hazaribagh
Kothagudem
Baddi (Himachal Pradesh)
Gohpur
Nellore
Sikar
Patna (Bihar)
Ranchi
Gopalganj (Bihar)
Delhi
Kurnool
Sitapur (Uttar Pradesh)
Darbhanga
Bihpuria
Kannur
Bareilly
Agra
Karimnagar
Rayachoti
Kishangarh
Kathmandu
Farrukhabad (Uttar Pradesh)
Kadiri
Kanpur (Uttar Pradesh)
Hyderabad
Hamirpur (Himachal Pradesh)
Shahjahanpur (Uttar Pradesh)
Goalpara
Haflong
Jaunpur
Thiruvananthapuram
Ongole
Thrissur
Allahabad
Solan
Durgapur (West Bengal)
Bolpur (West Bengal)
Jodhpur
Coimbatore
Jaipur (Rajasthan)
Narasaraopet
Amalapuram
Udaipur
Dhubri
Palampur
Biswanath Charali
Haldia
North Lakhimpur
Balmiki Nagar (bihar)
Nagaon (Assam)
Dalhousie
Dharamshala (Himachal Pradesh)
Siliguri
Kangra
Burdwan
Jagityal
Muzaffarpur (Bihar)
Purnea
Kottayam
Vijayawada
Sibsagar
Pali (Rajasthan)
Tirupati
Tinsukia
Jhargram
Bettiah
Aligarh (uttar pradesh)
Bangalore
Tezpur
Kota(Rajasthan)
Guwahati
Dhekiajuli
Dibrugarh
Eluru
Purulia
Chandigarh
Suri
Beawar (Rajasthan)
Bikaner
Jorhat
Visakhapatnam
Madanapalli
Godavarikhani
Habra
Digha
Rajahmundry
